TAB, POD,Timp    ,alt       ,ssc_lat,ssc_lon,v    ,pth    ,az     ,pt1_lat,pt1_lon,pt1_srange,pt2_lat,pt2_lon,pt2_srange,p18_lat,p18_lon,p18_srange
186, 378,  69.057, 160.52051, -9.627,-22.777,2.522,-65.582,115.149,-10.653,-20.539, 178.00249,-11.011,-21.039, 174.97861,-10.984,-19.771, 190.73153
187, 380,  63.937, 148.75308, -9.696,-22.628,2.528,-65.485,115.123,-10.650,-20.546, 164.97638,-10.986,-21.003, 162.25847,-10.960,-19.828, 176.85505
188, 382,  58.817, 136.96480, -9.766,-22.477,2.535,-65.386,115.096,-10.647,-20.552, 151.92366,-10.959,-20.967, 149.50627,-10.936,-19.884, 162.94961
189, 384,  53.697, 125.15578, -9.837,-22.324,2.541,-65.286,115.068,-10.644,-20.558, 138.84443,-10.933,-20.932, 136.71422,-10.911,-19.942, 149.00141
190, 386,  48.577, 113.32565, -9.908,-22.169,2.548,-65.185,115.040,-10.642,-20.563, 125.73826,-10.906,-20.897, 123.88206,-10.886,-20.000, 135.01066
191, 388,  43.457, 101.47412, -9.980,-22.012,2.555,-65.082,115.011,-10.639,-20.568, 112.60466,-10.879,-20.862, 111.00950,-10.861,-20.058, 120.97749
192, 390,  38.337,  89.60120,-10.053,-21.853,2.561,-64.979,114.981,-10.637,-20.572,  99.44372,-10.851,-20.828,  98.09504,-10.835,-20.118, 106.89936
193, 392,  33.217,  77.70686,-10.127,-21.691,2.568,-64.874,114.951,-10.636,-20.576,  86.25533,-10.823,-20.794,  85.13778,-10.809,-20.178,  92.77508
194, 394,  28.097,  65.79063,-10.202,-21.528,2.575,-64.768,114.921,-10.634,-20.579,  73.03886,-10.794,-20.761,  72.13672,-10.783,-20.239,  78.60354
195, 396,  22.977,  53.85239,-10.278,-21.362,2.582,-64.660,114.890,-10.633,-20.582,  59.79420,-10.765,-20.728,  59.09223,-10.756,-20.301,  64.38603
196, 398,  17.858,  41.89232,-10.355,-21.194,2.589,-64.551,114.858,-10.632,-20.584,  46.52141,-10.736,-20.696,  46.00446,-10.729,-20.363,  50.12265
197, 400,  12.738,  29.90979,-10.432,-21.023,2.597,-64.441,114.826,-10.631,-20.586,  33.21978,-10.706,-20.664,  32.87210,-10.701,-20.427,  35.81221
198, 402,   7.618,  17.90477,-10.511,-20.850,2.604,-64.330,114.793,-10.630,-20.587,  19.88920,-10.676,-20.633,  19.69409,-10.673,-20.491,  21.45397
199, 404,   2.498,   5.87714,-10.591,-20.675,2.611,-64.217,114.759,-10.630,-20.588,   6.52952,-10.645,-20.603,   6.46967,-10.644,-20.556,   7.04725
